,date,headlines,ticker,company
1437,2024-04-18,"#Network18 reports #Q4 earnings👇

- Cons revenue up 63% at ₹2,419 crore vs ₹1,484 crore (YoY)

- Network18 consolidated operating EBITDA loss at ₹190 crore vs EBITDA of ₹57 crore (YoY)",Network18 Media & Investments Limited,EQ
1438,2024-04-18,RVNL Signs MoU with Turkish Engineering Consulting & Contracting - TUMAS India for Partnership & collaboration in public transportation projects and infrastructure projects in #India,RVNL,Rail Vikas Nigam Limited
1440,2024-04-19,InoxWind secures repeat order for 210 MW for its 3 MW WTGs from Hero Future Energies,Future Consumer Limited,BE
1446,2024-04-19,"#ManIndustries gets Shell Global nod for external, internal coating of steel pipelines at Anjar, Gujarat",Gujarat Fluorochemicals Limited,EQ
1447,2024-04-19,"Gokaldas Exports launches QIP, floor price at ₹789.99/sh

Sources On Gokaldas Exports:

>>QIP size is ₹600 cr, indicative price at ₹775/sh

>>Indicative price is 4% discount to CMP & 5% to SEBI floor price

>>Equity dilution likely at 12.2% due to the QIP

>>Funds will be used for borrowing repayment, subsidiary investments",Gokaldas Exports Limited,EQ
1449,2024-04-19,"Tata Chem In Focus
Soda ash price extends gains, rises to highest levels in 3 months",Focus Lighting and Fixtures Limited,EQ
1454,2024-04-19,Motilal Oswal to mull proposal for declaration of bonus shares in April 26 board meet,Oswal Chemicals & Fertilizers Limited,EQ
1455,2024-04-19,"MARCH, Q4, FY24 LIFE INSURANCE DATA!

▪️Except HDFC Life, All Life Insurers Grow In March & Q4
▪️SBI Life, LIC Exibit Strongest Growth In March   
▪️SBI Life, LIC Exibit Strongest Growth In Q4
▪️Max Life & SBI Life Exibit Strongest Growth In FY24  
▪️Life Ins Ind Grows 16%, Pvt Players Only Grow 2%

HDFC LIFE INSURANCE ⭐️
March Premium                     -20%
Q4 Premium                            -8%
FY24 Premium                        +2%
March Total, Retail APE       -28%
Q4 Total APE                           -10%
Q4 Retail APE                          -9%

ICICI PRU LIFE INSURANCE ⭐️⭐️
March Premium                     +13%
Q4 Premium                            +16%
FY24 Premium                        +7%
March Total APE                     +9%                               
March Retail APE                    -1%
Q4 Total APE                           +33%
Q4 Retail APE                          +12%

MAX LIFE INSURANCE ⭐️1/2
March Premium                     +3%
Q4 Premium                            +22%
FY24 Premium                        +23%
March Total APE                     -9%
March Retail APE                    -8%
Q4 Total, Retail APE              +10%

SBI LIFE INSURANCE ⭐️⭐️⭐️⭐️
March Premium                     +25%
Q4 Premium                            +52%
FY24 Premium                        +29%
March Total APE                     +2%
March Retail APE                    -7%
Q4 Total APE                           +16%
Q4 Retail APE                          +9%

LIC ⭐️⭐️⭐️
March Premium                     +16%
Q4 Premium                            +26%
FY24 Premium                        +2%
March Total APE                     +2%
March Retail APE                    -16%
Q4 Total APE                           +18%
Q4 Retail APE                          -4%",HDFC Bank Limited,EQ
1456,2024-04-19,Canara Bank sets May 15 as the record date for stock split,Canara Bank,EQ
1458,2024-04-19,Deepak Fertilisers arm enters into an agreement with #Israel-based #Haifa group to promote specialty #fertilisers,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ
1460,2024-04-19,RVNL declared lowest bidder for a project worth ₹440 cr from South Central Railway,RVNL,Rail Vikas Nigam Limited
1461,2024-04-19,Premier Explosives board approves stock split of 1 share into 5,Premier Explosives Limited,EQ
1462,2024-04-19,"HDFC AMC reports  #Q4 earnings

- Net Profit up 43.8% at ₹541 cr vs ₹376.2 cr (YoY)
- Revenue up 28.5% at ₹695.4 cr vs ₹541 cr (YoY)",HDFC Bank Limited,EQ
1463,2024-04-19,"Sensex rises 600 points to 73,088 & Nifty 151 points to 22,147

Nifty Bank gains 505 pts to 47,574 while Midcap Index slips 299 pts to 48,697

HDFC Bank sees buying ahead of its quarterly numbers, surges 4% from lows

Bajaj Auto sees profit booking after a strong Q4, closes 3% lower",Bajaj Auto Limited,EQ
1464,2024-04-19,"4-wheeler auto names especially Maruti & M&M sure, up 2-3%

Infosys ends with minor cuts despite a weak Q4, closes 2% off lows

HAL moves 2% higher on reports of an order win",HAL,Hindustan Aeronautics Limited
1465,2024-04-19,"Tata Comm slides 5% on weak commentary, ends at a 2-month low

Life insurance stocks react to monthly update, Max Fin rise while ICICI Pru slips

Market breadth favours declines, advance-decline ratio at 1:1",ICICI Bank Limited,EQ
1466,2024-04-19,"#MarketAtClose | Market stages smart recovery amid geopolitical tensions, snaps 4-day losing streak

Financial majors (HDFC Bank & ICICI Bank) lead recovery, lift Nifty by 85 points

Nifty & Sensex gain nearly 2% from lows to end the session almost 1% higher

Nifty Bank too gains over 2% (1,000 points) from lows, ends 1% in the green",ICICI Bank Limited,EQ
1467,2024-04-20,"Indian Railways to operate record 9,000 plus train trips as massive travel rush expected this summer",Indian Energy Exchange Limited,EQ
1468,2024-04-20,UltraTech Cement will buy a grinding unit with installed capacity of 1.1 mtpa from India Cements For Rs 315 crore. The company has entered into an Asset Purchase Agreement with the seller for the aforesaid transaction.,The Andhra Sugars Limited,EQ
1472,2024-04-20,"HDFC Bank reports #Q4 earnings

- Gross NPA at 1.24% vs 1.26% (QoQ)

- Net NPA at 0.33% vs 0.31% (QoQ)

- Gross NPA at ₹31,173.3 cr vs ₹31,011.7 cr (QoQ)

- Net NPA at ₹8,091.7 cr vs ₹7,664 cr (QoQ)

- HDFC Bank made floating provisions of ₹10,900 crore in Q4FY24",HDFC Bank Limited,EQ
1473,2024-04-20,UltraTech Cement to buy grinding unit from India Cements for ₹315 crore,Bank of India,EQ
1474,2024-04-22,"Info Edge in focus
⭕️Info Edge publishes JobSpeak for March 2024, total hiring trends down 4.4% MoM & down 11% YoY
⭕️Market sentiment remains cautious, especially within IT & Software
⭕️Insurance, IT, banking & telecom see a dip of 14-22% in hiring trends",Info Edge (India) Limited,EQ
1475,2024-04-22,"Hinduja Global arm CELERITYX partners with MAFCOCS for 40,000 branches in Maharashtra

🚨Alert: MAFCOS is Maharashtra State Cooperative Credit Societies Federation",Global Education Limited,EQ
1477,2024-04-22,Gujarat State Petronet shares are locked in a 20% lower circuit after the Petroleum and Natural Gas Board (PNGRB) cut tariffs for co's crucial HP Pipeline network,Gujarat Fluorochemicals Limited,EQ
1478,2024-04-22,"WelspunCorp bags multiple line pipe orders worth ₹872 cr, in #India & #US. One of the orders is for supply of Concrete Coated LSAW Pipes and Bends for a critical oil transportation project in West Asia",One Point One Solutions Limited,EQ
1482,2024-04-22,"GAIL in focus
Following revision in tariff for GSPL, PNGRB tells @CNBCTV18News, there will be revision in tariffs for GAIL as well",GAIL,GAIL (India) Limited
1483,2024-04-22,"Sterling & Wilson shares surge after management expects RIL, Nigerian orders to be finalised",Sterling Tools Limited,EQ
1486,2024-04-22,"Rajratan Wire reports Q4 earnings

- Net Profit Down 1.5% At ₹20 Cr Vs ₹20.3 Cr (YoY)

- Revenue up 9.4% At ₹240 Cr Vs ₹219.4 Cr (YoY)

- EBITDA up 3% At ₹34.8 Cr Vs ₹33.8 Cr (YoY)

- Margin At 14.5% Vs 15.4% (YoY)",Rajratan Global Wire Limited,EQ
1487,2024-04-22,Moody's ratings places Samvardhana Motherson’s Ba1 rating on review for upgrade,Samvardhana Motherson International Limited,EQ
1488,2024-04-22,"Nifty Bank gains 351 points to 47,925 & Midcap Index 400 points to 49,096

Auto stocks see buying ahead of earnings, Eicher, Hero top gainers

Oil mktg cos & aviation stocks surge on a fall in crude prices

HDFC Bank ends in the red despite an improved Q4, falls 3% from highs",HDFC Bank Limited,EQ
1489,2024-04-22,"Voltas surges 6% on an expectation of healthy demand, Havells gains too

Exide rises more than 5% as co is set to come out of F&O ban today

Lupin & Zydus Life move higher on launch of a drug having size of $1 bn",Exide Industries Limited,EQ
1490,2024-04-22,"Market extends Friday’s gains, ends at a 1-week high

Frontline indices rises 1% each, all sectoral indices in the green

Reliance along with ICICI, Axis & L&T Lift Nifty while HDFC Bank drags

Sensex rises 560 points to 73,649 & Nifty 189 points to 22,336",Axis Bank Limited,EQ
1492,2024-04-22,BGR Energy: #UnionBank classifies its exposure of ₹188 crore to the company as an NPA,BGR Energy Systems Limited,EQ
1493,2024-04-22,"Kesoram Industries reports #Q4 earnings👇

➡️Net loss at ₹244.4 cr vs loss of ₹26.1 cr (YoY)
➡️Revenue up 1.7% at ₹1,073.6 cr vs ₹1,055.4 cr (YoY)
➡️EBITDA down 29.4% at ₹76.4 cr vs ₹108.2 cr (YoY)
➡️Margin at 7.1% vs 10.3% (YoY)",Kesoram Industries Limited,EQ
1494,2024-04-22,"Tamilnad Mercantile Bank  reports #Q4 earnings

➡️Net profit unchanged at ₹253 cr (YoY)
➡️NII up 7.5% at ₹567 cr vs ₹527.3 cr (YoY)
➡️Gross NPA at 1.44% vs 1.69% (QoQ)
➡️Net NPA at 0.85% vs 0.98% (QoQ)",Tamilnad Mercantile Bank Limited,EQ
1496,2024-04-22,"Rallis India reports #Q4 earnings

➡️Net Loss of ₹21 cr vs loss of ₹69 cr (YoY)
➡️Revenue down 16.6% at ₹436 cr vs ₹523 cr (YoY)",Bank of India,EQ
1497,2024-04-22,"IndusInd Bank executes RBI’s programmable Central Bank Digital Currency (CBDC ) pilot

Alert: For this pilot, IndusInd Bank collaborated with Circularity Innovation Hub (CIH)",Central Depository Services (India) Limited,EQ
1498,2024-04-22,"Mahindra Logistics reports #Q4 earnings

➡️Net loss at ₹11.9 cr vs profit of ₹0.20 cr (YoY)
➡️Revenue up 14% At ₹1.450.8 Cr Vs ₹1,272.5 (YoY)
➡️EBITDA down 11.1% At ₹56.6 Cr Vs ₹63.7 Cr (YoY)
➡️Margin at 3.9% Vs 5% (YoY)",Mahindra & Mahindra Limited,EQ
1499,2024-04-22,"Hatsun Agro reports #Q4 earnings

➡️Net Profit at ₹52.2 cr vs ₹25 cr (YoY)
➡️Revenue up 14.4% at ₹2,046.9 cr vs ₹1,789.5 cr (YoY)
➡️EBITDA up 46.8% at ₹229.7 cr vs ₹156.5 cr (YoY)
➡️Margin at 11.2% vs 8.8% (YoY)",Agro Phos India Limited,EQ
1501,2024-04-23,"M&M Financial slips in trade, stock falls more than 4% but off lows after co delays #Q4FY24 results as a fraud of upto Rs 150 cr was detected at one of its branch in the North East. The fraud involves forgery of KYC documents",M&M,Mahindra & Mahindra Limited
1503,2024-04-23,"Hearing begins in the #Patanjali Contempt Case 

Mukul Rohtagi (representing #BabaRamdev to SC) 

🚨  We have published a public apology across 67 newspapers

🚨 Supreme Court takes objection to how the ads have not been placed on record before the SC and the SC has not seen the ads.",Supreme Petrochem Limited,EQ
1504,2024-04-23,"SEBI approves draft offer for IPO of TBO Tek, Awfis Space while paper of Orient Green Power is returned",Orient Green Power Company Limited,EQ
1506,2024-04-23,M&M Fin defers board meet to consider #Q4Results to May 30,M&M,Mahindra & Mahindra Limited
1507,2024-04-23,"Tata Power Solar Systems partners with Indian Bank to drive solar rooftop adoption in residential segment

🚨Alert: Tie-up to support PM Surya Ghar Muft Bijli Yojana",Indian Energy Exchange Limited,EQ
1509,2024-04-23,"Sun Pharma slips on reports related to Dadra unit observations

Note: Dadra unit observations are not new. It was reported in the 1st week of this month",Sun Pharma Advanced Research Company Limited,EQ
1510,2024-04-23,"| Maruti hits record high, crosses ₹13,000/sh for the 1st time",Maruti Suzuki India Limited,EQ
1511,2024-04-23,"VolatilityIndex slips, India VIX reaches level of 10 for the first time since November 24, 2023",Bank of India,EQ
1512,2024-04-23,Mastek wins a new deal from Yanbu Cement to optimise its production processes,Mastek Limited,EQ
1513,2024-04-23,"NBCC bags new work orders worth ₹23,500 cr in FY24 vs ₹6,700 cr YoY",NBCC,NBCC (India) Limited
1516,2024-04-23,"Aditya Birla group stocks surge, Grasim, ABFRL & AB Cap rise 4-9%

Vodafone Idea gains more than 11% as its ₹18,000 crore FPO is subscribed 7x

Tata Cons, MCX, ICICI Pru & SBI card close with gains ahead of earnings

Nestle surges 3% from day’s low ahead of its quarterly results tomorrow",ABFRL,Aditya Birla Fashion and Retail Limited
1517,2024-04-23,"Auto stocks see buying, Maruti’s share price crosses 13,000 for the 1st time

Sun Pharma ends the session as top Nifty loser, down more than 3%

Realty stocks, especially Oberoi & DLF see buying, gain 3% each",DLF,DLF Limited
1519,2024-04-23,Rama Steel Tubes board approves raising funds up to ₹500 crore via share issue,Rama Phosphates Limited,EQ
1520,2024-04-23,"NELCO reports #Q4 earnings👇

➡️Net Profit up 7% at ₹6.1 cr vs ₹5.7 cr (YoY)
➡️Revenue down 0.5% at ₹81.6 cr vs ₹82 cr (YoY)
➡️EBITDA down 12.5% at ₹14.7 cr vs ₹16.8 cr (YoY)
➡️Margin at 18% vs 20.5% (YoY)",NELCO,NELCO Limited
1521,2024-04-23,"Tata Elxsi reports #Q4 earnings👇

➡️Net Profit down 4.6% at ₹196.9 cr vs ₹206.4 cr (QoQ)
➡️Revenue down 1% at ₹905.9 cr vs ₹914.2 cr (QoQ)
➡️EBIT down 4.5% at ₹233.7 cr vs ₹244.7 cr (QoQ)
➡️Margin at 25.8% vs 26.8% (QoQ)
➡️Board recommends dividend of ₹70/sh",Tata Elxsi Limited,EQ
1521,2024-04-23,"Tata Elxsi reports #Q4 earnings👇

➡️Net Profit down 4.6% at ₹196.9 cr vs ₹206.4 cr (QoQ)
➡️Revenue down 1% at ₹905.9 cr vs ₹914.2 cr (QoQ)
➡️EBIT down 4.5% at ₹233.7 cr vs ₹244.7 cr (QoQ)
➡️Margin at 25.8% vs 26.8% (QoQ)
➡️Board recommends dividend of ₹70/sh",Tata Elxsi Limited,EQ
1521,2024-04-23,"Tata Elxsi reports #Q4 earnings👇

➡️Net Profit down 4.6% at ₹196.9 cr vs ₹206.4 cr (QoQ)
➡️Revenue down 1% at ₹905.9 cr vs ₹914.2 cr (QoQ)
➡️EBIT down 4.5% at ₹233.7 cr vs ₹244.7 cr (QoQ)
➡️Margin at 25.8% vs 26.8% (QoQ)
➡️Board recommends dividend of ₹70/sh",Tata Elxsi Limited,EQ
1521,2024-04-23,"Tata Elxsi reports #Q4 earnings👇

➡️Net Profit down 4.6% at ₹196.9 cr vs ₹206.4 cr (QoQ)
➡️Revenue down 1% at ₹905.9 cr vs ₹914.2 cr (QoQ)
➡️EBIT down 4.5% at ₹233.7 cr vs ₹244.7 cr (QoQ)
➡️Margin at 25.8% vs 26.8% (QoQ)
➡️Board recommends dividend of ₹70/sh",Tata Elxsi Limited,EQ
1521,2024-04-23,"Tata Elxsi reports #Q4 earnings👇

➡️Net Profit down 4.6% at ₹196.9 cr vs ₹206.4 cr (QoQ)
➡️Revenue down 1% at ₹905.9 cr vs ₹914.2 cr (QoQ)
➡️EBIT down 4.5% at ₹233.7 cr vs ₹244.7 cr (QoQ)
➡️Margin at 25.8% vs 26.8% (QoQ)
➡️Board recommends dividend of ₹70/sh",Tata Elxsi Limited,EQ
1521,2024-04-23,"Tata Elxsi reports #Q4 earnings👇

➡️Net Profit down 4.6% at ₹196.9 cr vs ₹206.4 cr (QoQ)
➡️Revenue down 1% at ₹905.9 cr vs ₹914.2 cr (QoQ)
➡️EBIT down 4.5% at ₹233.7 cr vs ₹244.7 cr (QoQ)
➡️Margin at 25.8% vs 26.8% (QoQ)
➡️Board recommends dividend of ₹70/sh",Tata Elxsi Limited,EQ
1521,2024-04-23,"Tata Elxsi reports #Q4 earnings👇

➡️Net Profit down 4.6% at ₹196.9 cr vs ₹206.4 cr (QoQ)
➡️Revenue down 1% at ₹905.9 cr vs ₹914.2 cr (QoQ)
➡️EBIT down 4.5% at ₹233.7 cr vs ₹244.7 cr (QoQ)
➡️Margin at 25.8% vs 26.8% (QoQ)
➡️Board recommends dividend of ₹70/sh",Tata Elxsi Limited,EQ
1521,2024-04-23,"Tata Elxsi reports #Q4 earnings👇

➡️Net Profit down 4.6% at ₹196.9 cr vs ₹206.4 cr (QoQ)
➡️Revenue down 1% at ₹905.9 cr vs ₹914.2 cr (QoQ)
➡️EBIT down 4.5% at ₹233.7 cr vs ₹244.7 cr (QoQ)
➡️Margin at 25.8% vs 26.8% (QoQ)
➡️Board recommends dividend of ₹70/sh",Tata Elxsi Limited,EQ
1521,2024-04-23,"Tata Elxsi reports #Q4 earnings👇

➡️Net Profit down 4.6% at ₹196.9 cr vs ₹206.4 cr (QoQ)
➡️Revenue down 1% at ₹905.9 cr vs ₹914.2 cr (QoQ)
➡️EBIT down 4.5% at ₹233.7 cr vs ₹244.7 cr (QoQ)
➡️Margin at 25.8% vs 26.8% (QoQ)
➡️Board recommends dividend of ₹70/sh",Tata Elxsi Limited,EQ
1521,2024-04-23,"Tata Elxsi reports #Q4 earnings👇

➡️Net Profit down 4.6% at ₹196.9 cr vs ₹206.4 cr (QoQ)
➡️Revenue down 1% at ₹905.9 cr vs ₹914.2 cr (QoQ)
➡️EBIT down 4.5% at ₹233.7 cr vs ₹244.7 cr (QoQ)
➡️Margin at 25.8% vs 26.8% (QoQ)
➡️Board recommends dividend of ₹70/sh",Tata Elxsi Limited,EQ
1521,2024-04-23,"Tata Elxsi reports #Q4 earnings👇

➡️Net Profit down 4.6% at ₹196.9 cr vs ₹206.4 cr (QoQ)
➡️Revenue down 1% at ₹905.9 cr vs ₹914.2 cr (QoQ)
➡️EBIT down 4.5% at ₹233.7 cr vs ₹244.7 cr (QoQ)
➡️Margin at 25.8% vs 26.8% (QoQ)
➡️Board recommends dividend of ₹70/sh",Tata Elxsi Limited,EQ
1521,2024-04-23,"Tata Elxsi reports #Q4 earnings👇

➡️Net Profit down 4.6% at ₹196.9 cr vs ₹206.4 cr (QoQ)
➡️Revenue down 1% at ₹905.9 cr vs ₹914.2 cr (QoQ)
➡️EBIT down 4.5% at ₹233.7 cr vs ₹244.7 cr (QoQ)
➡️Margin at 25.8% vs 26.8% (QoQ)
➡️Board recommends dividend of ₹70/sh",Tata Elxsi Limited,EQ
1521,2024-04-23,"Tata Elxsi reports #Q4 earnings👇

➡️Net Profit down 4.6% at ₹196.9 cr vs ₹206.4 cr (QoQ)
➡️Revenue down 1% at ₹905.9 cr vs ₹914.2 cr (QoQ)
➡️EBIT down 4.5% at ₹233.7 cr vs ₹244.7 cr (QoQ)
➡️Margin at 25.8% vs 26.8% (QoQ)
➡️Board recommends dividend of ₹70/sh",Tata Elxsi Limited,EQ
1522,2024-04-23,The combined market valuation of two Bharti Group companies – #BhartiAirtel and #bhartihexacom – surged past the $100 billion mark after a relentless rally in #Airtel shares,The Andhra Sugars Limited,EQ
1525,2024-04-24,"Puravankara emerges as the preferred developer for a ₹2,000 crore Pali Hill project",Puravankara Limited,EQ
1526,2024-04-24,"Bharti Airtel clarifies on ET’s report of co eyeing Vodafone's 21.05% stake in Indus Towers
Co says it is not in any discussion with Vodafone Group to acquire such stake in Indus Towers. The Company has no desire to raise its stake beyond what is required for financial consolidation of Indus in the Company",The Andhra Sugars Limited,EQ
1527,2024-04-24,"Only Bharti Or Jio can lead on tariff hikes. Voda Idea will enjoy hindsight benefit on 5G, will not compete on 5G given no monetisation, says Sanjay Kapoor, former CEO of Airtel",Bharti Airtel Limited,EQ
1528,2024-04-24,"#GPTInfra bags order worth ₹487 cr from Central Railway, Mumbai",Central Depository Services (India) Limited,EQ
1529,2024-04-24,GAIL to shut Dabhol LNG terminal from may 15 ahead of monsoon #rains,GAIL,GAIL (India) Limited
1530,2024-04-24,"#UBL In Focus | Heineken India reports beer volume of low-teens in January March quarter

Alert: UBL’s guidance for volumes was mid to high single-digit

#Heineken reports #India beer volumes better than UBL’s guidance",Bank of India,EQ
1532,2024-04-24,"AllcargoLogistics ⚡️March LCL volume up 9% MoM & up 3% YoY

⚡️March FCL volume up 7% MoM, up 11% YoY",FCL,Fineotex Chemical Limited
1533,2024-04-24,RVNL JV emerges as the lowest bidder for project worth ₹439 cr from Southern Railway,RVNL,Rail Vikas Nigam Limited
1535,2024-04-24,"Nippon Life reports #Q4 earnings

- Net profit up 73.2% at ₹343 cr vs ₹198 cr (YoY)

- Revenue up 34.5% at ₹468.3 cr vs ₹348.3 cr (YoY)",Life Insurance Corporation Of India,EQ
1536,2024-04-24,"DCB Bank reports #Q4Results 

➡️Net profit up 9.6% at ₹155.7 cr vs ₹142.1 cr (YoY)
➡️NII up 4.4% at ₹507.5 cr vs 486 cr (YoY)
➡️Gross NPA at 3.23% vs 3.43% (QoQ)
➡️Net NPA at 1.11% vs 1.22% (QoQ)",DCB Bank Limited,EQ
1537,2024-04-24,"Insurance stocks under pressure as ICICI Pru reports mixed Q4

Vodafone Idea reverses Tuesday’s gains, slips 9%, Indus Twrs falls too

UBL surges 10% tracking India volume growth of Heineken",UBL,United Breweries Limited
1538,2024-04-24,"Nifty Bank rises 219 points to 48,189 & Midcap Index 377 points to 49,992

SAIL, NMDC, JSW, Tata Steel amongst top metal gainers

Cipla is top Nifty gainer on positive brokerage note, up 4%

Tata Cons slips over 5% after reporting a mixed set of earnings",Cipla Limited,EQ
1539,2024-04-24,"Market closes with gains for 4th straight session, Nifty holds 22,400

Kotak Bank, ICICI Bank along with metal names lift market

Metal stocks surge on a rise in global price, sectoral index at record high

Sensex rises 114 points to 73,853 & Nifty 34 points to 22,402",ICICI Bank Limited,EQ
1540,2024-04-24,"Dixon Tech extends gains, rises more than 4% to hit record high

Defence names continue to see buying, HAL rises more than 4%

Axis Bank, Indian Hotels, AU SFB closes while HUL ends flat ahead of results

Market breadth favours advances, advance-decline ratio at 2:1",HAL,Hindustan Aeronautics Limited
1541,2024-04-24,"Syngene International reports #Q4Results 

➡️Net Profit up 5.5% at ₹188.6 cr vs ₹178.7 cr (YoY)
➡️Revenue down 7.8% At ₹916.9 Cr Vs ₹994.4 Cr (YoY)
➡️EBITDA up 0.9% At ₹316.9 Cr Vs ₹314.1 Cr (YoY)
➡️Margin At 34.6% Vs 31.6% (YoY)",International Conveyors Limited,EQ
1542,2024-04-24,"Indian Hotels reports #Q4Results 

➡️Net profit up 29.4% at ₹438.3 cr vs ₹338.8 cr (YoY)
➡️Revenue up 17.2% at ₹1,905.3 cr vs ₹1,625.4 cr (YoY)
➡️EBITDA up 23.2% at ₹659.7 cr vs ₹535.5 cr (YoY)
➡️Margin at 34.6% vs 33% (YoY)
➡️Board recommends a dividend of ₹1.75/sh",Indian Energy Exchange Limited,EQ
1544,2024-04-24,RVNL declared lowest bidder for a southern railway project worth ₹239 Cr,RVNL,Rail Vikas Nigam Limited
1546,2024-04-25,HappiestMinds to acquire PureSoftware Tech for up to ₹779 cr,Tech Mahindra Limited,EQ
1547,2024-04-25,#AxisBank overtakes #KotakMahindraBank to become the fourth largest lender by market capitalisation in #India. This happened after Kotak Mahindra Bank's shares declined 10% following RBI action,Kotak Mahindra Bank Limited,EQ
1549,2024-04-25,Inox Wind board approves bonus issue in the ratio of 3:1,Inox Wind Limited,EQ
1550,2024-04-25,"Welspun Living reports #Q4 earnings👇

➡️Net profit up 16.4% at ₹146 cr vs ₹125.4 cr (YoY)
➡️Revenue up 19.6% at ₹2,575.2 cr vs ₹2,154 cr (YoY)
➡️EBITDA up 28.8% at ₹359 cr vs ₹279 cr (YoY)
➡️Margin at 14% vs 13% (YoY)",Welspun Corp Limited,EQ
1551,2024-04-25,"Puravankara arm Provident Housing secures ₹1,150 cr #investment from #HDFCCapital. The investment is for 6.2 msf of new residential projects with a combined GDV of ₹17,100 cr",The Andhra Sugars Limited,EQ
1552,2024-04-25,"Glenmark Life reports #Q4 earnings👇

➡️Net profit down 33% at ₹98 cr vs ₹146.3 cr (YoY)
➡️Revenue down 13.6% at ₹536.5 cr vs ₹621.3 cr (YoY)
➡️EBITDA down 31.7% at ₹141.3 cr vs ₹206.9 cr (YoY)
➡️Margin at 26.3% vs 33.3% (YoY)",Glenmark Pharmaceuticals Limited,EQ
1553,2024-04-25,"Vedanta reports #Q4 earnings👇

➡️Net profit down 27.4% at ₹2,273 cr vs ₹3,132 cr (YoY)
➡️Revenue down 6.4% at ₹35,509 cr vs ₹37,930 (YoY)
➡️EBITDA down 7.3% at ₹8,768 cr vs ₹9,459 cr (YoY)
➡️Margin at 24.7% vs 24.9% (YoY)",Vedanta Limited,EQ
1554,2024-04-25,"Cyient reports #Q4 earnings👇

➡️Net profit up 28.5% at ₹196.9 cr vs ₹153.2 cr (QoQ)
➡️Revenue up 2.2% at ₹1860.8 cr vs ₹1,821.4 cr (QoQ)
➡️EBIT up 3.1% at ₹268.1 cr vs ₹260 cr (QoQ)
➡️Margin at 14.4% vs 14.3% (QoQ)",Cyient Limited,EQ
1556,2024-04-25,"Zensar Technologies reports #Q4 earnings

➡️Net profit up 45.4% at ₹173.3 cr vs ₹119.2 cr (YoY)
➡️Revenue up 1.4% at ₹1,229.7 cr vs ₹1,212.6 cr (YoY)
➡️EBITDA up 15.5% at ₹203 cr vs ₹175.8 cr (YoY)
➡️Margin 16.5% vs 14.5% (YoY)
➡️Board recommends final dividend at ₹7/sh",Zensar Technologies Limited,EQ
1557,2024-04-25,"Som Distilleries reports #Q4 earnings👇

➡️Profit up 25.8% at ₹20 cr vs ₹15.9 cr (YoY)
➡️Revenue up 51.1% at ₹381.6 cr vs ₹252.6 cr (YoY)
➡️EBITDA up 48.6% at ₹41.9 cr vs ₹28.2 cr (YoY)
➡️Margin at 11% vs 11.2% (YoY)",Som Distilleries & Breweries Limited,EQ
1558,2024-04-25,Bajaj Finance offers final dividend of ₹36 a share as quarterly profit jumps 21%,Bajaj Auto Limited,EQ
1559,2024-04-25,"Bank’s operations will continue uninterrupted for all existing customers across all channels, Kotak Mahindra Bank's CEO letter to customers on RBI’s direction to the bank",Kotak Mahindra Bank Limited,EQ
1560,2024-04-25,Bajaj Finance offers final dividend of ₹36 a share as quarterly profit jumps 21%,Bajaj Auto Limited,EQ
1561,2024-04-25,Tata Motors and Tata Motors DVR merger proposal voting commences on April,Tata Motors Limited,EQ
1561,2024-04-25,Tata Motors and Tata Motors DVR merger proposal voting commences on April,Tata Motors Limited,EQ
1561,2024-04-25,Tata Motors and Tata Motors DVR merger proposal voting commences on April,Tata Motors Limited,EQ
1561,2024-04-25,Tata Motors and Tata Motors DVR merger proposal voting commences on April,Tata Motors Limited,EQ
1561,2024-04-25,Tata Motors and Tata Motors DVR merger proposal voting commences on April,Tata Motors Limited,EQ
1561,2024-04-25,Tata Motors and Tata Motors DVR merger proposal voting commences on April,Tata Motors Limited,EQ
1561,2024-04-25,Tata Motors and Tata Motors DVR merger proposal voting commences on April,Tata Motors Limited,EQ
1561,2024-04-25,Tata Motors and Tata Motors DVR merger proposal voting commences on April,Tata Motors Limited,EQ
1561,2024-04-25,Tata Motors and Tata Motors DVR merger proposal voting commences on April,Tata Motors Limited,EQ
1561,2024-04-25,Tata Motors and Tata Motors DVR merger proposal voting commences on April,Tata Motors Limited,EQ
1561,2024-04-25,Tata Motors and Tata Motors DVR merger proposal voting commences on April,Tata Motors Limited,EQ
1561,2024-04-25,Tata Motors and Tata Motors DVR merger proposal voting commences on April,Tata Motors Limited,EQ
1561,2024-04-25,Tata Motors and Tata Motors DVR merger proposal voting commences on April,Tata Motors Limited,EQ
1563,2024-04-26,"Bank of Maharashtra reports #Q4 earnings

➡️Net profit up 45% at ₹1,217.7 cr vs ₹840 cr (YoY)
➡️NII up 18.2% at ₹2,584 cr vs ₹2,187 cr (YoY)
➡️Gross NPA at ₹3,833.1 cr vs ₹3,858 cr (QoQ)
➡️Net NPA at ₹409 cr vs ₹405 cr (QoQ)
➡️Gross NPA at 1.88% vs 2.04% (QoQ)",Bank of Maharashtra,EQ
